Unnamed: 0,Id,EpisodeId,Index,Reward,State,SubmissionId,InitialConfidence,InitialScore,UpdatedConfidence,UpdatedScore,CreateTime,FinalScore,Team,exists
0,77031610,30968506,0,1630029.0,2,23692494,35.0,1802.5285025737348,35.0,1805.6723205967553,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
2,77339063,31122232,1,2090043.0,2,23692494,35.0,1852.7909687828321,35.0,1855.7509342842984,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
5,75943851,30424626,1,560044.0,2,23692494,54.278761085583604,1331.9323083312772,53.47266481408382,1338.1610715755905,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
6,76444175,30674788,1,740023.0,2,23692494,35.0,1622.198502034193,35.0,1625.520892723266,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
8,77360187,31132794,1,730024.0,2,23692494,35.0,1855.7509342842984,35.0,1859.2655891626675,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
9,75953777,30429589,1,700036.0,2,23692494,40.917833162366115,1480.6127832948075,40.45323931150347,1486.9213981204614,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
10,77627572,31266487,0,550013.0,2,23692494,35.0,1892.222928150288,35.0,1895.4161491305167,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
11,76033821,30469611,1,2930063.0,2,23692494,37.77139303986967,1522.1442573784454,37.41237536326068,1527.263358516488,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
15,76389848,30647625,0,530020.0,2,23692494,35.0,1618.3574162429168,35.0,1621.149604624431,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
16,76022438,30463920,0,220005.0,2,23692494,38.46186125293936,1513.164309929617,38.14321352916839,1516.8508375176236,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
17,77055516,30980459,0,220002.0,2,23692494,35.0,1809.0954073214566,35.0,1812.0384777735185,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
20,77652134,31278768,0,310007.0,2,23692494,35.0,1895.4161491305167,35.0,1898.4544742080332,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
23,76072788,30489095,0,530033.0,2,23692494,36.72011731767133,1537.3435599834,36.403359018128064,1541.7505745801182,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
24,75948787,30427094,1,1690036.0,2,23692494,46.09443457420553,1419.4095884957574,45.522404577762956,1425.2626228526176,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
26,75953221,30429311,1,1540037.0,2,23692494,41.325605541226935,1476.0596055136434,40.917833162366115,1480.6127832948075,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
28,75952697,30429049,1,2310046.0,2,23692494,41.792551824753545,1470.2866151009428,41.325605541226935,1476.0596055136434,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
29,75952123,30428762,1,1070041.0,2,23692494,42.790555829651645,1457.8119284460688,42.31632544000876,1463.1985980349386,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
30,75954333,30429867,1,3300059.0,2,23692494,40.45323931150347,1486.9213981204614,40.040064993339655,1492.031915771711,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
31,76050969,30478185,1,300018.0,2,23692494,37.41237536326068,1527.263358516488,37.06305705283719,1532.296105987943,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
33,76250362,30577882,0,180016.0,2,23692494,35.0,1582.6507596162407,35.0,1588.7208276483768,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
35,75951463,30428432,1,140015.0,2,23692494,43.953133384143584,1441.5186274971054,43.293140721526726,1452.0157173604891,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
36,75966917,30436159,1,750012.0,2,23692494,40.040064993339655,1492.031915771711,39.66678758070788,1496.3500270567004,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
39,77221085,31063243,1,160006.0,2,23692494,35.0,1836.188148283809,35.0,1839.419041426227,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
41,76067174,30486288,0,800042.0,2,23692494,37.06305705283719,1532.296105987943,36.72011731767133,1537.3435599834,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
42,76311760,30608581,0,2250045.0,2,23692494,35.0,1602.4551084251245,35.0,1606.1037833677758,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
45,77873951,31389676,1,840023.0,2,23692494,35.0,1921.1724646783773,35.0,1923.9416235002386,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
46,76344539,30624970,1,3140047.0,2,23692494,35.0,1610.2035381702935,35.0,1613.7240009696804,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
47,77676330,31290866,0,1280031.0,2,23692494,35.0,1898.4544742080332,35.0,1901.70294833112,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
50,76688946,30797174,0,480017.0,2,23692494,35.0,1687.576650924341,35.0,1693.1101315527246,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
52,76097203,30501302,1,1800027.0,2,23692494,36.114735770536896,1545.5051603600366,35.830786383686316,1549.2563806917115,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
57,76333588,30619495,0,1070024.0,2,23692494,35.0,1606.1037833677758,35.0,1610.2035381702935,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
58,77291702,31098552,0,820018.0,2,23692494,35.0,1846.25195988464,35.0,1849.5359402237848,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
59,76242987,30574194,1,100008.0,2,23692494,35.0,1579.0942866555256,35.0,1582.6507596162407,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
61,76268734,30587068,0,3040054.0,2,23692494,35.0,1592.567244649233,35.0,1598.8920160370205,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
62,77197294,31051348,0,1460036.0,2,23692494,35.0,1832.8626820281452,35.0,1836.188148283809,2021-11-11 05:21:44,2042.675832983266,Toad Brigade,True
