Id,EpisodeId,Index,Reward,State,SubmissionId,InitialConfidence,InitialScore,UpdatedConfidence,UpdatedScore,CreateTime,FinalScore,Team
78971072,31938237,0,1400043.0,2,23692494,35.0,1992.314047636008,35.0,1995.0234328005454,2021-11-11 05:21:44,2042.675832983266,Toad Brigade
77339063,31122232,1,2090043.0,2,23692494,35.0,1852.7909687828321,35.0,1855.7509342842986,2021-11-11 05:21:44,2042.675832983266,Toad Brigade
75941643,30423522,1,230012.0,2,23692494,61.27018239781628,1272.6205933141014,60.017655584120206,1281.9867336101286,2021-11-11 05:21:44,2042.675832983266,Toad Brigade
80082762,32494153,0,2720097.0,2,23692494,35.0,2051.111784341117,35.0,2052.9931883287886,2021-11-11 05:21:44,2042.675832983266,Toad Brigade
75943851,30424626,1,560044.0,2,23692494,54.278761085583604,1331.9323083312772,53.47266481408382,1338.1610715755905,2021-11-11 05:21:44,2042.675832983266,Toad Brigade
76444175,30674788,1,740023.0,2,23692494,35.0,1622.198502034193,35.0,1625.520892723266,2021-11-11 05:21:44,2042.675832983266,Toad Brigade
79193123,32049262,1,2.0,2,23692494,35.0,2002.483164659422,35.0,1995.3226454323487,2021-11-11 05:21:44,2042.675832983266,Toad Brigade
77360187,31132794,1,730024.0,2,23692494,35.0,1855.7509342842986,35.0,1859.2655891626675,2021-11-11 05:21:44,2042.675832983266,Toad Brigade
75953777,30429589,1,700036.0,2,23692494,40.917833162366115,1480.6127832948075,40.45323931150347,1486.9213981204614,2021-11-11 05:21:44,2042.675832983266,Toad Brigade
76033821,30469611,1,2930063.0,2,23692494,37.77139303986967,1522.1442573784454,37.41237536326068,1527.263358516488,2021-11-11 05:21:44,2042.675832983266,Toad Brigade
78433864,31669633,0,2200058.0,2,23692494,35.0,1960.847368307397,35.0,1963.671905961688,2021-11-11 05:21:44,2042.675832983266,Toad Brigade
78304736,31605069,0,1880052.0,2,23692494,35.0,1946.8907802627468,35.0,1949.8817974860456,2021-11-11 05:21:44,2042.675832983266,Toad Brigade
79500096,32202749,0,10001.0,2,23692494,35.0,2018.3662920359545,35.0,2010.9634930066345,2021-11-11 05:21:44,2042.675832983266,Toad Brigade
76389848,30647625,0,530020.0,2,23692494,35.0,1618.3574162429168,35.0,1621.149604624431,2021-11-11 05:21:44,2042.675832983266,Toad Brigade
76022438,30463920,0,220005.0,2,23692494,38.461861252939364,1513.164309929617,38.143213529168385,1516.8508375176236,2021-11-11 05:21:44,2042.675832983266,Toad Brigade
